服务端,实体名,实体参数,参数类型
admin,customerservice,"['customer_service_id', 'customer_service_no', 'wash_record_id', 'order_id', 'order_no', 'order_status', 'user_id', 'car_id', 'mobile', 'name', 'reason', 'description', 'opinion', 'remark', 'status', 'start_time', 'end_time', 'solve_seconds', 'created_time', 'operator', 'updated_time', 'remark', 'is_deleted', 'deleted_time', 'is_refund']","['string', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'string', 'int', 'float', 'float', 'int', 'float', 'string', 'float', 'string', 'boolean', 'float', 'int']"
admin,carstatistic,"['car_statistic_id', 'car_id', 'last_time', 'wash_num', 'wash_num_last_30_day', 'total_amount', 'avg_amount', 'avg_dirty_percent', 'visible', 'wash_area', 'parking', 'wash_interval', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'double', 'int', 'int', 'int', 'int', 'int', 'boolean', 'string', 'string', 'int', 'float', 'float', 'string', 'boolean', 'float']"
admin,washrecordstatistic,"['wash_record_statistic_id', 'time_point', 'wash_num', 'amount', 'increase_wash_num', 'increase_amount', 'total_record_num', 'total_amount', 'record_num_last_7_day', 'amount_last_7_day', 'record_num_last_30_day', 'amount_last_30_day', 'parking_id', 'wash_area_id', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'double', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'string', 'string', 'float', 'float', 'string', 'boolean', 'float']"
admin,washusertrendstatistic,"['wash_user_trend_statistic_id', 'time_point', 'wash_user_num', 'total_wash_user_num', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'float', 'int', 'int', 'float', 'float', 'string', 'boolean', 'float']"
admin,carwasherstatistic,"['car_washer_statistic_id', 'username', 'name', 'mobile', 'wash_record_num', 'wash_record_num_last_7_day', 'wash_record_num_last_30_day', 'total_wash_record', 'ability', 'ability_last_7_day', 'ability_last_30_day', 'total_ability', 'avg_wash_seconds', 'avg_wash_seconds_last_7_day', 'avg_wash_seconds_last_30_day', 'avg_wash_seconds_last_day', 'visible', 'time_point', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'boolean', 'float', 'float', 'float', 'string', 'boolean', 'float']"
admin,carmoveqrcode,"['car_move_qrcode_no', 'car_move_qrcode_id', 'user_id', 'mobile', 'wash_area_name', 'car_id', 'status', 'remark', 'qrcode_remark', 'created_time', 'updated_time', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'double', 'double', 'boolean', 'double']"
admin,washcomment,"['comment_id', 'order_no', 'order_id', 'car_id', 'mobile', 'user_id', 'car_images', 'level', 'comment_remark', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time', 'wash_record_id']","['string', 'string', 'string', 'string', 'string', 'string', 'array', 'int', 'string', 'float', 'float', 'string', 'boolean', 'float', 'string']"
admin,parking,"['parking_id', 'parking_name', 'alias_name', 'wash_area', '-wash_area_id', '-name', 'area', 'out_parking_id', 'enabled', 'location', 'lon', 'lat', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time', 'parking_banners', 'use_home_banner', 'service_introduce', 'address', 'use_home_illustrate', 'province', 'city', 'district', 'position', 'landing_content', 'parking_map']","['string', 'string', 'string', 'json', 'string', 'string', 'object', 'string', 'boolean', 'string', 'string', 'string', 'float', 'float', 'string', 'boolean', 'float', 'array', 'boolean', 'string', 'string', 'boolean', 'string', 'string', 'string', 'array', 'text', 'string']"
admin,order,"['order_id', 'order_no', 'wash_group_id', 'user_id', 'car_id', 'mobile', 'name', 'price', 'real_price', 'status', 'paid_time', 'paid_way', 'wash_area', '-wash_area_id', '-name', 'created_time', 'updated_time', 'remark', 'service_group', 'order_type', 'car_type', 'user_car_id', 'user_contact_id', 'car_place', 'sub_orders', 'prince_info', 'position']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'int', 'int', 'int', 'double', 'string', 'json', 'string', 'string', 'double', 'double', 'string', 'array', 'int', 'string', 'string', 'string', 'string', 'json', 'json', 'json']"
admin,noticemail,"['notice_mail_id', 'notice_mail', 'comment_status', 'money_status', 'car_move_qrcode_status', 'wxmp_remark_status', 'washer_remark_status', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'boolean', 'boolean', 'boolean', 'boolean', 'boolean', 'float', 'float', 'string', 'boolean', 'float']"
