admin  ||  coupon_code  ||  删除优惠码  ||  DELETE  ||   /admin/coupon_code_records/:coupon_code_record_id  ||    ||    ||    ||  ['204', '404', '403']  ||    ||  
admin  ||  coupon_code  ||  导出优惠码  ||  GET  ||   /admin/coupon_codes/export/:coupon_code_record_id  ||    ||    ||    ||  ['404', '403', '200']  ||    ||  
admin  ||  coupon_code  ||  备注  ||  PATCH  ||   /admin/coupon_code_records/:coupon_code_record_id/remark  ||  ['coupon_code_remark']  ||  ['string']  ||  ['T']  ||  ['204', '404', '403', '422']  ||    ||  
admin  ||  promoter  ||  推广二维码列表  ||  GET  ||   /admin/promoters  ||  ['name', 'mobile', 'promoter_remark']  ||  ['string', 'string', 'string']  ||  ['F', 'F', 'F']  ||  ['403', '200']  ||  Promoter  ||  
admin  ||  promoter  ||  二维码用户列表  ||  GET  ||   /admin/promotions  ||  ['promoter_id', 'user_id', 'mobile', 'car_id', 'created_section']  ||  ['string', 'string', 'string', 'string', 'string']  ||  ['T', 'F', 'F', 'F', 'F']  ||  ['403', '200']  ||  Promotion  ||  
admin  ||  promoter  ||  添加二维码  ||  POST  ||   /admin/promoters  ||  ['promoter_no', 'name', 'mobile', 'promoter_remark', 'enabled']  ||  ['string', 'string', 'string', 'string', 'boolean']  ||  ['T', 'F', 'F', 'F', 'F']  ||  ['403', '201', '422']  ||    ||  
admin  ||  promoter  ||  删除二维码  ||  DELETE  ||   /admin/promoters/:promoter_id  ||    ||    ||    ||  ['204', '404', '403']  ||    ||  
admin  ||  promoter  ||  编辑二维码  ||  PUT  ||   /admin/promoters/:promoter_id  ||  ['name', 'mobile', 'promoter_remark', 'enabled']  ||  ['string', 'string', 'string', 'boolean']  ||  ['F', 'F', 'F', 'F']  ||  ['204', '422', '403', '404']  ||    ||  
admin  ||  promoter  ||  二维码推广启用  ||  PATCH  ||   /admin/promoters/:promoter_id/enabled  ||  ['enabled']  ||  ['boolean']  ||  ['F']  ||  ['204', '404', '403', '422']  ||    ||  
admin  ||  promoter  ||  二维码推广统计  ||  GET  ||   /admin/promotion_count  ||  ['promoter_id', 'created_section']  ||  ['string', 'string']  ||  ['F', 'F']  ||  ['403', '200', '422']  ||    ||  
admin  ||  parking_coupon  ||  停车场劵列表  ||  GET  ||   /admin/parking_coupons  ||  ['car_id', 'order_no', 'car_washer', 'parking_id', 'created_section', 'page_num', 'page_size']  ||  ['string', 'string', 'string', 'string', 'float', 'int', 'int']  ||  ['F', 'F', 'F', 'F', 'F', 'F', 'F']  ||  ['403', '200', '422']  ||  ParkingCoupon  ||  
admin  ||  parking_coupon  ||  删除优惠券  ||  DELETE  ||   /admin/parking_coupons/:parking_coupon_id  ||    ||    ||    ||  ['204', '404', '403']  ||    ||  
admin  ||  admin_user  ||  添加管理员  ||  POST  ||   /admin/admin_users  ||  ['username', 'name', 'mobile', 'email', 'password']  ||  ['string', 'string', 'String', 'String', 'String']  ||  ['T', 'T', 'T', 'F', 'T']  ||  ['201', '403', '422']  ||    ||  
admin  ||  admin_user  ||  修改管理员信息  ||  PUT  ||   /admin/admin_users/:username  ||  ['username', 'name', 'mobile', 'email', 'password']  ||  ['string', 'string', 'String', 'String', 'String']  ||  ['T', 'T', 'T', 'F', 'T']  ||  ['204', '403', '404', '422']  ||    ||  
admin  ||  admin_user  ||  获取管理员信息列表  ||  GET  ||   /admin/admin_users  ||  ['username', 'name', 'mobile', 'page_num', 'page_size']  ||  ['string', 'string', 'String', 'int', 'int']  ||  ['F', 'F', 'F', 'F', 'F']  ||  ['403', '200', '422']  ||  User  ||  
admin  ||  admin_user  ||  获取管理员信息详情  ||  GET  ||   /admin/admin_users/:username  ||    ||    ||    ||  ['404', '403', '200']  ||  User  ||  
admin  ||  admin_user  ||  管理员启用/禁用  ||  PATCH  ||   /admin/admin_users/:username/is_active  ||  ['is_active']  ||  ['boolean']  ||  ['F']  ||  ['204', '404', '403', '422']  ||    ||  
admin  ||  admin_user  ||  帐号登录  ||  POST  ||   /admin/login  ||  ['password', 'username', 'num', 'vk']  ||  ['string', 'string', 'int', 'string']  ||  ['T', 'T', 'F', 'T']  ||  ['204', '403', '422']  ||    ||  
admin  ||  admin_user  ||  帐号注销  ||  POST  ||   /admin/logout  ||    ||    ||    ||  ['204', '403']  ||    ||  
admin  ||  admin_user  ||  获取信息  ||  GET  ||   /admin/user  ||    ||    ||    ||  ['404', '403', '200']  ||  User  ||  
admin  ||  admin_user  ||  获取验证码  ||  GET  ||   /admin/get_verify_code  ||  ['num', 'vk']  ||  ['int', 'string']  ||  ['F', 'T']  ||  ['200']  ||    ||  
admin  ||  car_washer  ||  新增虾客  ||  POST  ||   /admin/car_washers  ||  ['username', 'name', 'mobile', 'birthday', 'ID_card', 'address', 'sex', 'promoter_no', 'password', 'is_active']  ||  ['string', 'string', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'boolean']  ||  ['T', 'T', 'T', 'F', 'F', 'F', 'F', 'F', 'T', 'F']  ||  ['201', '422', '403']  ||    ||  
admin  ||  car_washer  ||  获取虾客列表  ||  GET  ||   /admin/car_washers  ||  ['username', 'mobile', 'name', 'page_num', 'page_size']  ||  ['string', 'string', 'string', 'int', 'int']  ||  ['F', 'F', 'F', 'T', 'T']  ||  ['403', '200', '422']  ||  CarWasher  ||  
admin  ||  car_washer  ||  获取虾客详情  ||  GET  ||   /admin/car_washers/:username  ||    ||    ||    ||  ['404', '403', '200']  ||  CarWash  ||  
admin  ||  car_washer  ||  编辑虾客  ||  PUT  ||   /admin/car_washers/:username  ||  ['name', 'mobile', 'sex', 'birthday', 'ID_card', 'address', 'promoter_no', 'password', 'is_active']  ||  ['string', 'string', 'int', 'string', 'string', 'string', 'string', 'string', 'boolean']  ||  ['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']  ||  ['404', '204', '403', '404', '422']  ||    ||  
admin  ||  car_washer  ||  编辑启用/禁用  ||  PATCH  ||   /admin/car_washers/:username/is_active  ||  ['is_active']  ||  ['boolean']  ||  ['F']  ||  ['204', '404', '403', '422']  ||    ||  
admin  ||  car_washer  ||  虾客接单记录  ||  GET  ||   /admin/car_washers/:username/wash_records  ||  ['page_num', 'page_size']  ||  ['int', 'int']  ||  ['F', 'F']  ||  ['404', '403', '200']  ||  WashRecord  ||  
admin  ||  car_washer  ||  虾客接单数量  ||  GET  ||   /admin/car_washers/:username/order_count  ||  ['section']  ||  ['string']  ||  ['F']  ||  ['403', '200', '422']  ||    ||  
admin  ||  robot  ||  新增虾滑  ||  POST  ||   /admin/robots  ||  ['mobile', 'name', 'car_id']  ||  ['string', 'string', 'string']  ||  ['T', 'T', 'T']  ||  ['403', '201', '422']  ||    ||  
admin  ||  robot  ||  获取虾滑列表  ||  GET  ||   /admin/robots  ||  ['mobile', 'car_id', 'page_num', 'page_size']  ||  ['string', 'string', 'int', 'int']  ||  ['F', 'F', 'F', 'F']  ||  ['403', '200', '422']  ||  Robot  ||  
admin  ||  robot  ||  删除虾滑  ||  DELETE  ||   /admin/robots/:robot_id/cancel  ||    ||    ||    ||  ['204', '404', '403']  ||    ||  
admin  ||  wash_group  ||  新增拼团  ||  POST  ||   /admin/wash_groups  ||  ['name', 'valid_start_time', 'valid_end_time', 'is_diff_car_type', 'service_groups', 'people_num', 'wash_area_id', 'expect_time', 'car_washer_ids', 'auto_group']  ||  ['string', 'double', 'double', 'boolean', 'object', 'int', 'string', 'double', 'string', 'boolean']  ||  ['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'F']  ||  ['201', '422', '403']  ||    ||  
admin  ||  wash_group  ||  获取拼团详情  ||  GET  ||   /admin/wash_groups/:wash_group_id  ||    ||    ||    ||  ['404', '403', '200']  ||  WashGroup  ||  
admin  ||  wash_group  ||  获取拼团列表  ||  GET  ||   /admin/wash_groups  ||  ['wash_group_no', 'status', 'wash_area_id', 'valid_start_section', 'page_num', 'page_size']  ||  ['string', 'int', 'string', 'string', 'int', 'int']  ||  ['F', 'F', 'F', 'F', 'F', 'F']  ||  ['403', '200', '422']  ||  WashGroup  ||  
admin  ||  wash_group  ||  编辑拼团  ||  PUT  ||   /admin/wash_groups/:wash_group_id  ||  ['name', 'valid_start_time', 'valid_end_time', 'is_diff_car_type', 'service_groups', 'people_num', 'wash_area_id', 'expect_time', 'car_washer_ids', 'auto_group']  ||  ['string', 'double', 'double', 'boolean', 'object', 'int', 'string', 'double', 'string', 'boolean']  ||  ['F', 'T', 'T', 'T', 'T', 'F', 'T', 'T', 'T', 'F']  ||  ['204', '404', '422', '403']  ||    ||  
admin  ||  wash_group  ||  一键虾滑  ||  POST  ||   /admin/wash_groups/:wash_group_id/join  ||  ['robot_num']  ||  ['int']  ||  ['T']  ||  ['204', '404', '422', '403']  ||    ||  
admin  ||  wash_record  ||  洗车记录列表  ||  GET  ||    /admin/wash_records  ||  ['order_no', 'status', 'car_id', 'mobile', 'wash_area_id', 'submit_section', 'user_id', 'wash_seconds', 'page_num', 'page_size', 'order_type', 'is_deleted']  ||  ['string', 'string', 'string', 'string', 'string', 'string', 'string', 'int', 'int', 'int', 'array', 'boolean']  ||  ['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'T', 'T', 'F', 'F']  ||  ['200']  ||  WashRecord  ||  
